"Student","Class","Method","IssueType","Severity","Details"
"escaipe-room-beta-and-final-team-17","PianoController","loadNotes","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 7 total cases, avg 7.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-17","GptPromptEngineering","getGmHint","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 8 total cases, avg 8.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-17","BodybuilderController","onKeyPressed","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 22 total cases, avg 22.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-17","BodybuilderController","onClickSubmit","Switch Complexity","MEDIUM","Method contains 2 switch(es) with 12 total cases, avg 6.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-17","RockController","playNote","Switch Complexity","HIGH","Method contains 1 switch(es) with 7 total cases, avg 7.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-38","RoomController","checkIsKey","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 8 total cases, avg 8.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-38","RoomController","fillPattern","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-38","CanvasController","initialize","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-16","LockerController","increase","Switch Complexity","HIGH","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: STATE_MACHINE"
"escaipe-room-beta-and-final-team-16","LockerController","decrease","Switch Complexity","HIGH","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: STATE_MACHINE"
"escaipe-room-beta-and-final-team-16","Commander","setHintsBasedOnDifficulty","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-16","KeyPadController","onClick","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-16","ComputerController","onClick","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-16","LeftRoomController","onClick","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 8 total cases, avg 8.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-16","MainRoomController","onClick","Switch Complexity","HIGH","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: STATE_MACHINE"
"escaipe-room-beta-and-final-team-16","MainRoomController","clickDrawer","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: STATE_MACHINE"
"escaipe-room-beta-and-final-team-19","DungeonMaster","getDungeonMasterComment","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-19","LeaderboardController","getColour","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 10 total cases, avg 10.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-19","CorridorController","onKeyPressed","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-19","CorridorController","onKeyReleased","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-19","RoomController","convertStringToColor","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 5 total cases, avg 5.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-19","ChestController","setLabelKeyHole","Switch Complexity","MEDIUM","Method contains 2 switch(es) with 12 total cases, avg 6.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-18","GptPromptEngineering","getHint","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 8 total cases, avg 8.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-18","GameMaster","setFace","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: FACTORY_PATTERN"
"escaipe-room-beta-and-final-team-18","WireGameController","convertText","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
